,Country,LOCATION,Value,year
218,Italy,ITA,2.5,2002
219,Italy,ITA,2.7,2003
220,Italy,ITA,3.4,2004
221,Italy,ITA,4.1,2005
222,Italy,ITA,4.5,2006
223,Italy,ITA,5,2007
224,Italy,ITA,5.8,2008
225,Italy,ITA,5.7,2009
226,Italy,ITA,6.1,2010
227,Italy,ITA,6.5,2011
228,Italy,ITA,6.8,2012
229,Italy,ITA,7.3,2013
230,Italy,ITA,8.2,2014
231,Italy,ITA,8.4,2015
232,Italy,ITA,8.5,2016
233,Italy,ITA,8.5,2017
234,Italy,ITA,8.7,2018
235,Italy,ITA,8.7,2019
236,Japan,JPN,1.2,2000
237,Japan,JPN,1.3,2001
238,Japan,JPN,1.4,2002
239,Japan,JPN,1.5,2003
240,Japan,JPN,1.5,2004
241,Japan,JPN,1.6,2005
242,Japan,JPN,1.6,2006
243,Japan,JPN,1.6,2007
244,Japan,JPN,1.7,2008
245,Japan,JPN,1.7,2009
246,Japan,JPN,1.7,2010
247,Japan,JPN,1.7,2011
248,Japan,JPN,1.6,2012
249,Japan,JPN,1.6,2013
250,Japan,JPN,1.6,2014
251,Japan,JPN,1.7,2015
252,Japan,JPN,1.7,2016
253,Japan,JPN,1.9,2017
254,Japan,JPN,2,2018
255,Japan,JPN,2.2,2019
256,Latvia,LVA,22.8,2004
257,Latvia,LVA,21.9,2005
258,Latvia,LVA,20.8,2006
259,Latvia,LVA,19.9,2007
260,Latvia,LVA,18.9,2008
261,Latvia,LVA,18.1,2009
262,Latvia,LVA,17.3,2010
263,Latvia,LVA,16.6,2011
264,Latvia,LVA,15.9,2012
265,Latvia,LVA,15.7,2013
266,Latvia,LVA,15.3,2014
267,Latvia,LVA,15.1,2015
268,Latvia,LVA,14.7,2016
269,Latvia,LVA,14.3,2017
270,Latvia,LVA,14.1,2018
271,Latvia,LVA,14,2019
272,Lithuania,LTU,1,2005
273,Lithuania,LTU,1,2006
274,Lithuania,LTU,1,2007
275,Lithuania,LTU,1,2008
276,Lithuania,LTU,1,2009
277,Lithuania,LTU,0.9,2010
278,Lithuania,LTU,0.8,2011
279,Lithuania,LTU,0.8,2012
280,Lithuania,LTU,0.8,2013
281,Lithuania,LTU,0.7,2014
282,Lithuania,LTU,0.8,2015
283,Lithuania,LTU,0.6,2016
284,Lithuania,LTU,0.7,2017
285,Lithuania,LTU,1,2018
286,Lithuania,LTU,1.7,2019
287,Luxembourg,LUX,36,2000
288,Luxembourg,LUX,37.3,2001
289,Luxembourg,LUX,37.8,2002
290,Luxembourg,LUX,38.3,2003
291,Luxembourg,LUX,39.3,2004
292,Luxembourg,LUX,40.1,2005
293,Luxembourg,LUX,41.1,2006
294,Luxembourg,LUX,41.8,2007
295,Luxembourg,LUX,42.4,2008
296,Luxembourg,LUX,43.4,2009
297,Luxembourg,LUX,42.6,2010
298,Luxembourg,LUX,42.4,2011
299,Luxembourg,LUX,43.2,2012
300,Luxembourg,LUX,43.8,2013
301,Luxembourg,LUX,44.7,2014
302,Luxembourg,LUX,45.6,2015
303,Luxembourg,LUX,46.8,2016
304,Luxembourg,LUX,48.2,2017
305,Luxembourg,LUX,48.8,2018
306,Luxembourg,LUX,47.3,2019
307,Mexico,MEX,0.2,2010
308,Mexico,MEX,0.2,2011
309,Mexico,MEX,0.2,2012
310,Mexico,MEX,0.2,2013
311,Mexico,MEX,0.3,2015
312,Mexico,MEX,0.3,2016
313,Mexico,MEX,0.3,2017
314,Mexico,MEX,0.3,2018
315,Mexico,MEX,0.4,2019
316,Netherlands,NLD,4.1,2000
317,Netherlands,NLD,4.2,2001
318,Netherlands,NLD,4.3,2002
319,Netherlands,NLD,4.3,2003
320,Netherlands,NLD,4.3,2004
321,Netherlands,NLD,4.3,2005
322,Netherlands,NLD,4.2,2006
323,Netherlands,NLD,4.1,2007
324,Netherlands,NLD,4.2,2008
325,Netherlands,NLD,4.3,2009
326,Netherlands,NLD,4.4,2010
327,Netherlands,NLD,4.6,2011
328,Netherlands,NLD,4.7,2012
329,Netherlands,NLD,4.7,2013
330,Netherlands,NLD,4.8,2014
331,Netherlands,NLD,5,2015
332,Netherlands,NLD,5.3,2016
333,Netherlands,NLD,5.7,2017
334,Netherlands,NLD,6.1,2018
335,Netherlands,NLD,6.5,2019
336,Norway,NOR,3.7,2000
337,Norway,NOR,4,2001
338,Norway,NOR,4.1,2002
339,Norway,NOR,4.4,2003
340,Norway,NOR,4.5,2004
341,Norway,NOR,4.6,2005
342,Norway,NOR,4.8,2006
343,Norway,NOR,5.1,2007
344,Norway,NOR,5.6,2008
345,Norway,NOR,6.3,2009
346,Norway,NOR,6.8,2010
347,Norway,NOR,7.5,2011
348,Norway,NOR,8.1,2012
349,Norway,NOR,8.8,2013
350,Norway,NOR,9.4,2014
351,Norway,NOR,9.8,2015
352,Norway,NOR,10.2,2016
353,Norway,NOR,10.5,2017
354,Norway,NOR,10.6,2018
355,Norway,NOR,10.9,2019
356,Poland,POL,0.1,2003
357,Poland,POL,0.1,2007
358,Poland,POL,0.1,2008
359,Poland,POL,0.2,2009
360,Poland,POL,0.2,2010
361,Poland,POL,0.2,2011
362,Poland,POL,0.2,2012
363,Poland,POL,0.2,2013
364,Poland,POL,0.3,2014
365,Poland,POL,0.3,2015
366,Poland,POL,0.4,2016
367,Poland,POL,0.6,2017
368,Poland,POL,0.6,2018
369,Portugal,PRT,1.9,2000
370,Portugal,PRT,2.1,2001
371,Portugal,PRT,3.5,2002
372,Portugal,PRT,4,2003
373,Portugal,PRT,4.2,2004
374,Portugal,PRT,4.3,2005
375,Portugal,PRT,4,2006
376,Portugal,PRT,4.1,2007
377,Portugal,PRT,4.2,2008
378,Portugal,PRT,4.2,2009
379,Portugal,PRT,4.3,2010
380,Portugal,PRT,4.2,2011
381,Portugal,PRT,4.2,2012
382,Portugal,PRT,4,2013
383,Portugal,PRT,3.9,2014
384,Portugal,PRT,3.8,2015
385,Portugal,PRT,3.7,2016
386,Portugal,PRT,3.9,2017
387,Portugal,PRT,4.1,2018
388,Portugal,PRT,4.7,2019
389,Republic of Korea,KOR,0.4,2000
390,Republic of Korea,KOR,0.5,2001
391,Republic of Korea,KOR,0.6,2002
392,Republic of Korea,KOR,1,2003
393,Republic of Korea,KOR,1,2004
394,Republic of Korea,KOR,1.1,2005
395,Republic of Korea,KOR,1.4,2006
396,Republic of Korea,KOR,1.7,2007
397,Republic of Korea,KOR,1.8,2008
398,Republic of Korea,KOR,1.9,2009
399,Republic of Korea,KOR,2,2010
400,Republic of Korea,KOR,2,2011
401,Republic of Korea,KOR,1.9,2012
402,Republic of Korea,KOR,2,2013
403,Republic of Korea,KOR,2.2,2014
404,Republic of Korea,KOR,2.3,2015
405,Republic of Korea,KOR,2.3,2016
406,Republic of Korea,KOR,2.3,2017
407,Republic of Korea,KOR,2.3,2018
408,Republic of Korea,KOR,2.4,2019
409,Slovakia,SVK,0.5,2000
410,Slovakia,SVK,0.5,2001
411,Slovakia,SVK,0.5,2002
412,Slovakia,SVK,0.5,2003
413,Slovakia,SVK,0.5,2004
414,Slovakia,SVK,0.4,2005
415,Slovakia,SVK,0.5,2006
416,Slovakia,SVK,0.6,2007
417,Slovakia,SVK,0.8,2008
418,Slovakia,SVK,1,2009
419,Slovakia,SVK,1.2,2010
420,Slovakia,SVK,1.3,2011
421,Slovakia,SVK,1,2012
422,Slovakia,SVK,1,2013
423,Slovakia,SVK,1.1,2014
424,Slovakia,SVK,1.1,2015
425,Slovakia,SVK,1.2,2016
426,Slovakia,SVK,1.3,2017
427,Slovakia,SVK,1.3,2018
428,Slovakia,SVK,1.4,2019
429,Slovenia,SVN,3.4,2008
430,Slovenia,SVN,3.5,2009
431,Slovenia,SVN,4.9,2010
432,Slovenia,SVN,4.6,2011
433,Slovenia,SVN,4.9,2012
434,Slovenia,SVN,5,2013
435,Slovenia,SVN,5.4,2014
436,Slovenia,SVN,5.7,2015
437,Slovenia,SVN,6.1,2016
438,Slovenia,SVN,7.3,2017
439,Slovenia,SVN,5.9,2018
440,Slovenia,SVN,6.6,2019
441,Spain,ESP,4.9,2002
442,Spain,ESP,6.4,2003
443,Spain,ESP,7,2004
444,Spain,ESP,8.5,2005
445,Spain,ESP,9.3,2006
446,Spain,ESP,10,2007
447,Spain,ESP,11.1,2008
448,Spain,ESP,11.6,2009
449,Spain,ESP,11.6,2010
450,Spain,ESP,11.4,2011
451,Spain,ESP,11.2,2012
452,Spain,ESP,10.9,2013
453,Spain,ESP,10.1,2014
454,Spain,ESP,9.7,2015
455,Spain,ESP,9.5,2016
456,Spain,ESP,9.5,2017
457,Spain,ESP,9.9,2018
458,Spain,ESP,10.4,2019
459,Sweden,SWE,5.5,2000
460,Sweden,SWE,5.4,2001
461,Sweden,SWE,5.3,2002
462,Sweden,SWE,5.3,2003
463,Sweden,SWE,5.3,2004
464,Sweden,SWE,5.3,2005
465,Sweden,SWE,5.3,2006
466,Sweden,SWE,5.4,2007
467,Sweden,SWE,5.7,2008
468,Sweden,SWE,6,2009
469,Sweden,SWE,6.4,2010
470,Sweden,SWE,6.7,2011
471,Sweden,SWE,6.9,2012
472,Sweden,SWE,6.9,2013
473,Sweden,SWE,7.2,2014
474,Sweden,SWE,7.6,2015
475,Sweden,SWE,8,2016
476,Sweden,SWE,8.6,2017
477,Sweden,SWE,9,2018
478,Sweden,SWE,9.3,2019
479,Switzerland,CHE,19.2,2000
480,Switzerland,CHE,19.3,2001
481,Switzerland,CHE,19.6,2002
482,Switzerland,CHE,19.9,2003
483,Switzerland,CHE,20,2004
484,Switzerland,CHE,20.2,2005
485,Switzerland,CHE,20.2,2006
486,Switzerland,CHE,20.2,2007
487,Switzerland,CHE,20.5,2008
488,Switzerland,CHE,21.2,2009
489,Switzerland,CHE,21.5,2010
490,Switzerland,CHE,21.7,2011
491,Switzerland,CHE,22.1,2012
492,Switzerland,CHE,22.5,2013
493,Switzerland,CHE,23,2014
494,Switzerland,CHE,23.5,2015
495,Switzerland,CHE,23.7,2016
496,Switzerland,CHE,23.9,2017
497,Switzerland,CHE,24,2018
498,Switzerland,CHE,24.2,2019
499,Turkey,TUR,0.1,2008
500,Turkey,TUR,0.1,2009
501,Turkey,TUR,0.2,2010
502,Turkey,TUR,0.3,2011
503,Turkey,TUR,0.3,2012
504,Turkey,TUR,0.4,2013
505,Turkey,TUR,0.6,2014
506,Turkey,TUR,0.7,2015
507,Turkey,TUR,0.8,2016
508,Turkey,TUR,1,2017
509,Turkey,TUR,1.1,2018
510,United Kingdom of Great Britain and Northern Ireland,GBR,3.8,2000
511,United Kingdom of Great Britain and Northern Ireland,GBR,4,2001
512,United Kingdom of Great Britain and Northern Ireland,GBR,4.4,2002
513,United Kingdom of Great Britain and Northern Ireland,GBR,4.4,2003
514,United Kingdom of Great Britain and Northern Ireland,GBR,4.6,2004
515,United Kingdom of Great Britain and Northern Ireland,GBR,4.7,2005
516,United Kingdom of Great Britain and Northern Ireland,GBR,5.6,2006
517,United Kingdom of Great Britain and Northern Ireland,GBR,6.3,2007
518,United Kingdom of Great Britain and Northern Ireland,GBR,6.8,2008
519,United Kingdom of Great Britain and Northern Ireland,GBR,7,2009
520,United Kingdom of Great Britain and Northern Ireland,GBR,7.2,2010
521,United Kingdom of Great Britain and Northern Ireland,GBR,7.6,2011
522,United Kingdom of Great Britain and Northern Ireland,GBR,7.5,2012
523,United Kingdom of Great Britain and Northern Ireland,GBR,7.7,2013
524,United Kingdom of Great Britain and Northern Ireland,GBR,8,2014
525,United Kingdom of Great Britain and Northern Ireland,GBR,8.6,2015
526,United Kingdom of Great Britain and Northern Ireland,GBR,9,2016
527,United Kingdom of Great Britain and Northern Ireland,GBR,9.3,2017
528,United Kingdom of Great Britain and Northern Ireland,GBR,9,2018
529,United States of America,USA,6.5,2002
530,United States of America,USA,7.1,2003
531,United States of America,USA,7,2004
532,United States of America,USA,6.7,2005
533,United States of America,USA,7,2006
534,United States of America,USA,7.2,2007
535,United States of America,USA,7.2,2008
536,United States of America,USA,7.1,2009
537,United States of America,USA,7,2010
538,United States of America,USA,7.2,2011
539,United States of America,USA,7.1,2012
540,United States of America,USA,7,2013
541,United States of America,USA,6.9,2014
542,United States of America,USA,6.9,2015
543,United States of America,USA,7,2016
544,United States of America,USA,6.9,2017
